1268	3	104
376	2	749
1773	3	30
152	5	214
783	3	50
904	3	65
1610	10	1228
1281	3	111
179	21	924
1751	2	194
893	14	1035
1082	14	803
1906	2	354
1082	15	597
40	5	263
1320	14	770
1339	3	78
521	0	147
120	16	488
946	3	15
1006	19	546
685	3	280
882	23	385
212	5	378
1302	3	28
1670	30	1164
89	5	878
1933	3	502
769	16	488
1254	1	180
1012	3	362
395	3	88
992	5	402
907	3	93
40	5	984
353	2	354
514	22	1111
984	2	178
366	2	609
359	5	154
213	2	346
1011	3	85
1731	3	245
869	11	56
1091	3	78
1798	3	38
1761	16	121
1052	3	15
1191	3	19
55	3	111
542	2	543
1234	3	799
1655	14	282
387	3	380
1268	0	147
822	3	19
717	3	627
1669	12	196
675	16	229
545	0	1
143	2	44
363	3	249
526	3	341
16	16	121
1768	14	1745
996	3	865
153	5	585
1193	15	897
225	8	200
1986	3	245
1162	3	115
1968	14	1370
1168	3	157
1256	3	249
825	15	323
1104	10	655
255	2	247
24	5	307
1086	10	694
1612	3	65
266	5	70
1598	14	963
952	16	1813
1655	3	405
1446	16	488
337	3	549
1833	3	30
139	5	24
1185	9	1209
114	10	482
246	2	296
778	9	1244
152	2	335
1983	3	1579
127	5	708
183	2	247
1178	2	44
823	3	85
1438	19	305
668	9	1209
783	3	111
1087	11	385
1724	3	111
399	2	749
517	5	127
1818	8	40
1433	3	76
1732	2	159
1717	3	50
776	3	953
1261	14	1035
2046	42	2050
681	3	169
207	3	1641
1773	3	245
1945	12	1830
652	2	44
1141	3	249
1388	12	889
1660	3	15
486	2	178
778	8	40
1731	16	690
1095	3	1096
151	5	221
1637	25	1051
126	2	178
1101	2	1556
974	1	975
212	5	442
148	5	200
566	0	7
945	3	314
394	2	1395
579	2	296
1847	16	121
1546	0	1172
241	0	147
1467	16	121
114	3	115
91	3	76
983	3	341
287	2	543
191	5	53
114	0	58
571	20	1935
1265	8	40
68	5	191
316	5	289
1308	5	266
1170	19	1367
332	5	71
912	3	549
1090	18	1056
61	2	1556
1465	14	236
666	14	432
288	5	476
74	15	897
1580	15	897
605	3	111
861	3	405
791	3	46
406	2	358
442	5	326
387	16	488
263	5	360
1914	3	15
524	15	1534
947	3	115
542	5	126
460	5	126
946	3	245
688	2	194
783	3	826
944	3	549
49	3	797
388	5	176
684	2	317
2079	42	2083
1431	2	178
325	23	305
914	16	488
1409	2	346
1058	14	282
1214	14	236
496	17	1450
1226	2	159
1368	5	185
1237	3	38
1122	3	1353
4	5	579
1399	2	164
1661	16	916
1154	3	76
815	14	1656
1629	15	1464
1094	3	410
1050	3	28
16	3	28
1351	12	704
1287	3	26
510	3	15
1265	3	826
440	15	441
1899	2	1004
680	3	280
214	2	247
1805	8	40
259	2	642
1140	14	1605
1832	16	121
668	2	260
1358	2	296
261	2	5
307	2	123
1663	16	121
1461	2	123
610	8	992
191	5	214
342	3	245
1314	12	1093
1717	14	236
214	5	674
2033	3	129
1915	3	19
234	2	543
1704	3	405
1983	13	834
126	5	54
996	3	2002
998	11	801
89	5	399
45	2	609
561	3	76
1186	2	1475
1554	8	584
1611	14	1034
1263	2	346
1038	3	280
1922	3	1027
1902	3	797
119	0	58
740	15	597
1352	3	344
1547	2	159
406	2	749
1382	16	1249
1061	2	543
259	3	76
989	3	65
200	2	644
700	4	1444
372	2	543
1422	0	58
399	5	255
2213	44	2206
1082	14	206
708	27	1572
911	23	1749
1167	3	818
1282	2	164
1809	3	28
1805	10	694
1997	10	396
684	2	667
89	2	644
791	3	115
394	5	420
151	5	61
673	14	240
692	3	111
821	2	1289
1741	2	576
731	3	1646
433	10	539
213	2	256
1717	8	153
1148	2	164
1558	12	445
1553	3	549
965	16	121
207	2	453
68	5	399
1684	2	976
1864	12	1597
1505	14	662
805	14	161
933	16	121
126	5	334
1432	8	40
992	5	40
738	33	1630
673	7	36
570	5	173
934	3	245
1645	0	58
367	15	368
852	12	445
1742	19	571
1524	2	256
234	5	429
122	2	222
639	3	502
1197	3	65
1795	3	1713
774	3	129
174	5	288
328	3	405
200	2	543
919	25	732
476	5	255
1226	2	260
1317	8	136
1374	15	531
205	3	190
1083	8	153
174	5	125
167	5	357
342	3	471
1541	5	89
1137	3	1353
1272	3	249
1969	36	1650
603	15	597
1787	3	50
894	3	111
394	5	143
1166	3	65
378	5	214
947	8	40
215	2	1568
1753	3	76
137	5	255
1250	3	76
845	10	233
2044	43	2182
1560	9	1858
2023	3	15
1026	16	121
1155	3	658
1822	8	153
302	2	296
1059	10	52
399	5	982
354	31	801
558	3	182
108	3	65
760	11	801
429	5	697
1848	3	502
244	14	282
1252	5	214
1417	2	330
1362	16	1286
1717	16	412
761	3	76
1200	14	282
666	16	121
1520	14	282
1570	2	260
1692	3	28
244	21	1318
1657	3	65
1504	3	280
578	2	644
1134	3	76
1885	14	1089
1590	0	58
1739	2	164
1846	3	182
1925	14	1048
